task_id,domain,system_name,model,G1,G2,G3,G4
rflp_009,elevator_platform,IndustrialLiftSafetyControlSystem,MiniMax-M2.5,0.2,0.0,0.0,0.0
rflp_010,hvac,SmartHVACZoneControlSystem,Qwen3.7-Plus,1.0,0.4,0.6,0.2
rflp_010,hvac,SmartHVACZoneControlSystem,DeepSeek-V4-Flash-0731,0.8,0.2,0.6,0.2
rflp_010,hvac,SmartHVACZoneControlSystem,Qwen3.8-Flash,0.8,0.2,0.8,0.2
rflp_010,hvac,SmartHVACZoneControlSystem,MiniMax-M2.5,0.8,0.0,0.2,0.0
rflp_013,medical_infusion,InfusionPumpSafetySystem,Qwen3.7-Plus,0.8,0.0,0.6,0.0
rflp_013,medical_infusion,InfusionPumpSafetySystem,DeepSeek-V4-Flash-0731,1.0,0.0,0.4,0.4
rflp_013,medical_infusion,InfusionPumpSafetySystem,Qwen3.8-Flash,0.6,0.0,0.2,0.2
rflp_013,medical_infusion,InfusionPumpSafetySystem,MiniMax-M2.5,0.6,0.0,0.2,0.0
rflp_016,warehouse_agv,WarehouseAGVPathFollowingSystem,Qwen3.7-Plus,0.8,0.0,0.0,0.0
rflp_016,warehouse_agv,WarehouseAGVPathFollowingSystem,DeepSeek-V4-Flash-0731,1.0,0.0,0.0,0.0
rflp_016,warehouse_agv,WarehouseAGVPathFollowingSystem,Qwen3.8-Flash,0.8,0.0,0.0,0.0
rflp_016,warehouse_agv,WarehouseAGVPathFollowingSystem,MiniMax-M2.5,0.8,0.0,0.0,0.0
rflp_017,hydraulic_press,HydraulicPressForceControlSystem,Qwen3.7-Plus,0.0,0.0,0.0,0.0
rflp_017,hydraulic_press,HydraulicPressForceControlSystem,DeepSeek-V4-Flash-0731,0.0,0.0,0.2,0.0
rflp_017,hydraulic_press,HydraulicPressForceControlSystem,Qwen3.8-Flash,0.0,0.0,0.0,0.0
rflp_017,hydraulic_press,HydraulicPressForceControlSystem,MiniMax-M2.5,0.0,0.0,0.0,0.0
rflp_018,air_compressor,AirCompressorPressureControlSystem,Qwen3.7-Plus,1.0,0.0,0.4,0.0
rflp_018,air_compressor,AirCompressorPressureControlSystem,DeepSeek-V4-Flash-0731,1.0,0.0,0.0,0.0
rflp_018,air_compressor,AirCompressorPressureControlSystem,Qwen3.8-Flash,1.0,0.0,0.2,0.0
rflp_018,air_compressor,AirCompressorPressureControlSystem,MiniMax-M2.5,0.6,0.0,0.0,0.0
rflp_019,smart_irrigation,SmartIrrigationMoistureControlSystem,Qwen3.7-Plus,0.6,0.0,0.8,0.0
rflp_019,smart_irrigation,SmartIrrigationMoistureControlSystem,DeepSeek-V4-Flash-0731,0.8,0.0,0.6,0.0
rflp_019,smart_irrigation,SmartIrrigationMoistureControlSystem,Qwen3.8-Flash,0.8,0.4,0.0,0.0
rflp_019,smart_irrigation,SmartIrrigationMoistureControlSystem,MiniMax-M2.5,0.8,0.0,0.0,0.0
rflp_021,crane_anti_sway,CraneAntiSwayControlSystem,Qwen3.7-Plus,0.8,0.0,0.8,0.0
rflp_021,crane_anti_sway,CraneAntiSwayControlSystem,DeepSeek-V4-Flash-0731,0.8,0.0,0.6,0.2
rflp_021,crane_anti_sway,CraneAntiSwayControlSystem,Qwen3.8-Flash,0.6,0.0,0.0,0.0
rflp_021,crane_anti_sway,CraneAntiSwayControlSystem,MiniMax-M2.5,0.6,0.0,0.0,0.0
rflp_022,cold_chain,ColdChainCabinetTemperatureSystem,Qwen3.7-Plus,0.8,0.4,0.4,0.2
rflp_022,cold_chain,ColdChainCabinetTemperatureSystem,DeepSeek-V4-Flash-0731,1.0,0.2,0.0,0.0
rflp_022,cold_chain,ColdChainCabinetTemperatureSystem,Qwen3.8-Flash,0.4,0.2,0.4,0.0
rflp_022,cold_chain,ColdChainCabinetTemperatureSystem,MiniMax-M2.5,0.4,0.0,0.2,0.0
rflp_023,pipeline_leak,PipelineLeakDetectionIsolationSystem,Qwen3.7-Plus,1.0,0.0,0.8,0.0
rflp_023,pipeline_leak,PipelineLeakDetectionIsolationSystem,DeepSeek-V4-Flash-0731,0.6,0.0,0.8,0.2
rflp_023,pipeline_leak,PipelineLeakDetectionIsolationSystem,Qwen3.8-Flash,0.8,0.0,0.2,0.0
rflp_023,pipeline_leak,PipelineLeakDetectionIsolationSystem,MiniMax-M2.5,0.8,0.0,0.0,0.0
rflp_024,prosthetic_knee,ProstheticKneeDampingControlSystem,Qwen3.7-Plus,1.0,0.0,0.2,0.2
rflp_024,prosthetic_knee,ProstheticKneeDampingControlSystem,DeepSeek-V4-Flash-0731,1.0,0.0,0.2,0.2
rflp_024,prosthetic_knee,ProstheticKneeDampingControlSystem,Qwen3.8-Flash,1.0,0.0,0.8,0.0
rflp_024,prosthetic_knee,ProstheticKneeDampingControlSystem,MiniMax-M2.5,0.6,0.0,0.2,0.0
